menus_id,名字,平均分,收藏,浏览,工艺,口味,时间,难度,主料,辅料,禁忌综合,糖,脂肪,热量
3060,猪肉炖粉条,3.541, 972 收藏 , 36283 浏览,炖,家常味,30分钟,初级入门,"['粉条 100克', '白菜 500克', '五花肉 100克']","['食用油 5毫升', '葱花 15克', '姜片 10克', '八角 2个', '生抽 5克', '盐 3克', '水 200毫升']","['高血脂人群 建议多吃', '减肥人群 建议多吃', '高血糖人群 控制少吃', '高血压人群 建议多吃', '儿童 建议多吃']",7.84克,4.3克,89大卡
9333,芝士火腿,3.877, 23 收藏 , 13817 浏览,炸,咸鲜味,10分钟,新手尝试,"['鸡蛋 一个', '火腿 一根', '芝士 一片']","['食盐 1克', '低筋面粉 50克', '胡椒粉 1克', '面包碎 50克']","['高血压人群 控制少吃', '高血糖人群 尽量不吃', '减肥人群 控制少吃', '高血脂人群 控制少吃', '儿童 控制少吃']",21.77克,3.6克,206.4大卡
3760,骨头汤,4.724, 161 收藏 , 34054 浏览,炖,咸鲜味,2小时,新手尝试,['猪大骨头 700克'],"['姜丝 5克', '白萝卜 1根', '香葱 3根', '料酒 10克', '盐 2克', '鸡粉 2克', '耗油 5克']","['高血压人群 建议多吃', '高血糖人群 建议多吃', '减肥人群 建议多吃', '高血脂人群 建议多吃', '儿童 建议多吃']",2.87克,0.2克,15.8大卡
14680,香辣烤藕片,4.457, 3 收藏 , 34658 浏览,烤,香辣味,30分钟,初级入门,['莲藕 两节'],"['洋葱 半个', '姜末 适量', '辣椒圈 适量', '葱末 适量', '小葱 适量', '辣椒粉 适量', '熟白芝麻 适量', '蚝油 10克', '五香粉 2克', '啤酒 50克', '食盐 少许', '孜然粉 1克', '花椒粉 1克', '绵白糖 10克']","['减肥人群 建议多吃', '高血糖人群 尽量不吃', '高血脂人群 建议多吃', '高血压人群 建议多吃', '儿童 控制少吃']",10.5克,1.3克,79.9大卡
858,牛尾冬瓜汤,4.99, 31 收藏 , 6189 浏览,煲,咸鲜味,2小时,初级入门,"['牛尾段 800克', '冬瓜 1块']","['姜 1块', '草果 1颗', '肉蔻 2粒', '盐 少许']","['高血压人群 建议多吃', '减肥人群 建议多吃', '高血脂人群 建议多吃', '高血糖人群 建议多吃', '儿童 建议多吃']",1.61克,0.9克,87.3大卡
3562,芝士火鸡,3.429, 653 收藏 , 9384 浏览,炒,香辣味,30分钟,初级入门,"['鸡腿 5个', '年糕条 适量']","['蒜末 1勺', '生抽 1勺', '辣椒面 1勺', '火鸡酱 2勺', '韩式辣酱 1勺', '食用油 1勺', '芝士碎 适量', '海苔碎 适量', '黑胡椒粉 适量']","['高血压人群 建议多吃', '高血脂人群 建议多吃', '减肥人群 控制少吃', '高血糖人群 建议多吃', '儿童 控制少吃']",3.92克,8.1克,167.1大卡
3647,京酱肉丝,3.628, 145 收藏 , 33741 浏览,炒,酱香味,10分钟,初级入门,['瘦精猪肉 300克'],"['淀粉 10克', '水 10毫升', '食用油 8毫升', '耗油 8克', '豆瓣酱 5克', '盐 3克']","['高血脂人群 尽量不吃', '减肥人群 尽量不吃', '高血压人群 控制少吃', '高血糖人群 控制少吃', '儿童 控制少吃']",1.68克,37克,395大卡
13298,秘制蒜香鸡爪,3.528, 513 收藏 , 25269 浏览,拌,香辣味,数小时,初级入门,['鸡爪 500克'],"['食盐 3克', '香叶 2片', '料酒 10克', '蚝油 10克', '生抽 15克', '香醋 15克', '八角 2个', '花椒 2克', '草果 1个', '桂皮 1块', '洋葱 适量', '小米辣 适量', '葱姜蒜 适量', '白芝麻 适量', '辣椒粉 适量']","['减肥人群 控制少吃', '高血糖人群 控制少吃', '高血脂人群 控制少吃', '高血压人群 控制少吃', '儿童 控制少吃']",4.13克,13.7克,221.7大卡
1222,一碗酱汁锅里一倒，出锅太香了！鲜嫩入味,3.651, 2 收藏 , 49093 浏览,炖,家常味,15分钟,未知,"['大鸡腿 1个', '土豆 1个', '洋葱 半个', '金针菇 1把']","['料酒 1勺', '生抽 2勺', '老抽 半勺', '蚝油 1勺', '黄豆酱 2勺', '海鲜酱 1勺']","['高血压人群 建议多吃', '高血脂人群 建议多吃', '减肥人群 建议多吃', '高血糖人群 控制少吃', '儿童 建议多吃']",5.11克,2.2克,70.5大卡
6827,西葫芦炒肉,3.376, 2874 收藏 , 41779 浏览,炒,咸鲜味,10分钟,初级入门,"['西葫芦 250克', '猪肉 100克', '胡萝卜 50克']","['蒜片 5克', '香葱 1根', '食用油 5毫升', '料酒 5克', '鸡粉 3克', '盐 2克', '生抽 15克', '蚝油 2克', '水淀粉 15克']","['高血脂人群 建议多吃', '减肥人群 控制少吃', '高血压人群 建议多吃', '高血糖人群 建议多吃', '儿童 建议多吃']",2.31克,9.4克,110.5大卡
12568,湖南小炒肉,4.586, 109 收藏 , 28525 浏览,炒,香辣味,10分钟,初中水平,"['蒜片 5克', '姜片 10克', '青辣椒 15克', '小米椒 15克', '五花肉 150克', '食用油 5毫升']","['老抽 6克', '豆豉 10克', '盐 2克', '白砂糖 3克', '生抽 5克']","['高血脂人群 控制少吃', '减肥人群 控制少吃', '高血糖人群 控制少吃', '高血压人群 控制少吃', '儿童 控制少吃']",3.22克,28.7克,298大卡
1705,蒜香烤茄子,3.736, 134 收藏 , 14481 浏览,烤,香辣味,30分钟,未知,"['茄子 1个', '大蒜 20克', '盐 3克', '蒜蓉辣酱 1大勺', '青椒 少许', '白胡椒 少许']",['烧烤料 适量'],"['高血压人群 建议多吃', '高血糖人群 控制少吃', '减肥人群 建议多吃', '高血脂人群 建议多吃', '儿童 建议多吃']",5.95克,0.2克,39.8大卡
11063,凉拌鸡胸肉,4.209, 1273 收藏 , 28807 浏览,拌,香辣味,30分钟,初中水平,['鸡胸肉 适量'],"['葱姜 适量', '料酒 适量', '蒜末 适量', '生抽 适量', '蚝油 适量', '食盐 适量', '辣椒粉 适量', '辣椒碎 适量', '熟白芝麻 适量', '孜然粉 适量', '孜然粒 适量', '鸡精 适量', '小米辣 适量', '香菜 适量']","['高血压人群 尽量不吃', '高血脂人群 建议多吃', '减肥人群 控制少吃', '高血糖人群 控制少吃', '儿童 控制少吃']",8.33克,4.9克,143大卡
7799,煲仔饭,3.557, 39 收藏 , 15567 浏览,煲,家常味,60分钟,中级掌勺,"['大米 150克', '水 70毫升', '鸡蛋 1个', '油菜 适量']","['食用油 10毫升', '鱼露 10毫升', '酱油 10毫升', '盐 5克', '糖 5克', '蚝油 5克', '老抽 5克', '麻油 5克', '凉白开 10毫升', '姜丝 5克', '蒜末 5克', '白酒 5克', '豆豉 5克', '芝麻 适量', '葱花 适量']","['高血糖人群 尽量不吃', '减肥人群 控制少吃', '高血脂人群 建议多吃', '高血压人群 建议多吃', '儿童 建议多吃']",25.9克,1.6克,183.1大卡
7099,白斩鸡,4.754, 56 收藏 , 17625 浏览,煮,其它口味,30分钟,新手尝试,['鸡 一只'],['老姜 10克'],"['高血脂人群 建议多吃', '减肥人群 控制少吃', '高血压人群 建议多吃', '高血糖人群 建议多吃', '儿童 建议多吃']",0.63克,6.1克,109.6大卡
14376,肉末蒸蛋,3.835, 448 收藏 , 84265 浏览,蒸,家常味,30分钟,初级入门,"['鸡蛋 4个', '肉末 100克']","['食用油 5毫升', '蒜末 5克', '生抽 5克', '葱花 5克', '胡萝卜 8克', '香菇末 8克', '盐 3克']","['高血脂人群 控制少吃', '减肥人群 控制少吃', '高血压人群 控制少吃', '高血糖人群 控制少吃', '儿童 控制少吃']",1.68克,17.5克,216.1大卡
7742,干煸四季豆,3.19, 142 收藏 , 15366 浏览,干煸,咸鲜味,10分钟,初中水平,"['四季豆 200克', '大蒜 适量', '辣椒 2根', '白芝麻 适量']","['食用油 5毫升', '盐 3克', '蚝油 5克']","['高血脂人群 建议多吃', '减肥人群 建议多吃', '高血糖人群 建议多吃', '高血压人群 建议多吃', '儿童 控制少吃']",4.97克,2.1克,54大卡
7709,鱼香茄子,4.356, 188 收藏 , 14844 浏览,炒,家常味,15分钟,新手尝试,"['圆茄子 1个', '西红柿 2个', '青椒 半个']","['剁辣椒 1勺', '葱花姜末蒜末 适量', '盐 适量', '食用油 适量', '生抽 2勺', '老抽 2勺', '蚝油 1勺', '白糖 1勺', '水淀粉 1勺', '鸡精 1勺']","['减肥人群 建议多吃', '高血糖人群 控制少吃', '高血脂人群 建议多吃', '高血压人群 控制少吃', '儿童 控制少吃']",6.16克,1.1克,45.9大卡
7000,洋葱炒香干,4.401, 323 收藏 , 4959 浏览,炒,家常味,15分钟,未知,['洋葱 1个'],"['大蒜 2瓣', '小米辣 3个']","['高血糖人群 控制少吃', '减肥人群 建议多吃', '高血脂人群 建议多吃', '高血压人群 建议多吃', '儿童 控制少吃']",6.65克,0.2克,42.3大卡
7279,水煮肉片,4.54, 475 收藏 , 71752 浏览,煮,麻辣味,15分钟,初中水平,"['猪里脊 300克', '豆芽 200克', '郫县豆瓣酱 10克']","['盐 3克', '淀粉 5克', '食用油 5毫升', '葱 适量', '干辣椒 适量', '水 150毫升', '花椒粉 适量', '葱花 适量']","['高血脂人群 建议多吃', '高血压人群 建议多吃', '减肥人群 建议多吃', '高血糖人群 建议多吃', '儿童 控制少吃']",0.98克,4.8克,96.9大卡
9811,家常炒-少油版地三鲜,4.945, 60 收藏 , 80290 浏览,炒,咸鲜味,10分钟,未知,"['茄子 1根', '土豆 1个', '青椒 1个']","['小葱 2根', '蒜末 适量', '红椒 半根', '白糖 适量', '淀粉 适量', '生抽 3勺', '老抽 2勺', '盐 适量', '清水 适量']","['高血糖人群 建议多吃', '减肥人群 建议多吃', '高血脂人群 建议多吃', '高血压人群 建议多吃', '儿童 建议多吃']",4.62克,0.2克,30.1大卡
14455,老醋花生,3.417, 942 收藏 , 15415 浏览,拌,酸甜味,5分钟,初级入门,"['花生米 1碗', '黄瓜 1条', '洋葱 1/4个']","['小葱 1棵', '陈醋 30克', '生抽 20克', '盐 2克', '白糖 5克']","['减肥人群 建议多吃', '高血糖人群 控制少吃', '高血脂人群 建议多吃', '高血压人群 控制少吃', '儿童 控制少吃']",7克,0.2克,53.1大卡
3849,口水鸡,3.355, 97 收藏 , 13686 浏览,煮,家常味,30分钟,中级掌勺,"['鸡 半只', '葱 几根', '姜 一个', '蒜 几瓣', '花椒 适量']","['油 适量', '盐 适量', '生抽 适量', '香醋 适量', '料酒 适量', '油辣椒 适量', '芝麻 适量', '花生碎 适量']","['高血压人群 建议多吃', '高血脂人群 建议多吃', '减肥人群 控制少吃', '高血糖人群 建议多吃', '儿童 控制少吃']",2.8克,6.7克,120.7大卡
12143,可乐鸡翅,3.705, 841 收藏 , 93698 浏览,烧,酸甜味,15分钟,初级入门,"['鸡翅 适量', '可乐 1听']","['葱段 适量', '料酒 3克', '老抽 3克', '盐 3克', '油 适量']","['高血糖人群 控制少吃', '减肥人群 建议多吃', '高血脂人群 建议多吃', '高血压人群 建议多吃', '儿童 建议多吃']",6.93克,1克,55大卡
14688,糖醋排骨,3.161, 5 收藏 , 520 浏览,焖,酸甜味,60分钟,中级掌勺,['猪精排 3根'],"['八角 2颗', '大葱 1根', '花椒 2颗', '老姜 1块', '冰糖 1小把', '料酒 少许', '米醋 适量', '盐 少许', '老抽 少许']","['减肥人群 控制少吃', '高血糖人群 控制少吃', '高血脂人群 控制少吃', '高血压人群 控制少吃', '儿童 控制少吃']",4.48克,15.7克,210.4大卡
12293,鸡蛋的2种新吃法,4.896, 340 收藏 , 75457 浏览,烘焙,咸鲜味,10分钟,新手尝试,['鸡蛋 10个'],"['盐 1勺', '醋 1勺', '清水 适量']","['减肥人群 控制少吃', '高血糖人群 建议多吃', '高血脂人群 建议多吃', '高血压人群 建议多吃', '儿童 建议多吃']",1.61克,7.2克,118.3大卡
5116,茄子烩豆腐,3.672, 13 收藏 , 8152 浏览,烩,家常味,15分钟,中级掌勺,"['嫩豆腐 1块', '紫茄 2个']","['蒜头 1个', '香菇酱 1汤匙', '辣椒粉 1克', '香菜 1根', '酱油 1汤匙', '盐 2克']","['高血压人群 建议多吃', '高血糖人群 建议多吃', '减肥人群 建议多吃', '高血脂人群 建议多吃', '儿童 控制少吃']",3.57克,0.7克,33.5大卡
14831,粉丝蒸茄子,3.578, 627 收藏 , 9233 浏览,蒸,家常味,10分钟,新手尝试,"['长茄子 2根', '粉丝 1把']","['葱 2棵', '大蒜 瓣']","['高血糖人群 尽量不吃', '减肥人群 控制少吃', '高血压人群 建议多吃', '高血脂人群 建议多吃', '儿童 建议多吃']",23.45克,0.2克,132.9大卡
8078,腌笃鲜,4.002, 58 收藏 , 12813 浏览,炖,咸鲜味,2小时,中级掌勺,"['猪尾骨 适量', '咸肉 适量', '纯净水 600毫升', '春笋 适量']","['姜片 4片', '料酒 10克', '盐 5克']","['高血压人群 建议多吃', '高血脂人群 建议多吃', '减肥人群 建议多吃', '高血糖人群 建议多吃', '儿童 建议多吃']",1.19克,4克,55.6大卡
9843,炒合菜,3.324, 7529 收藏 , 71993 浏览,炒,家常味,15分钟,新手尝试,"['鸡蛋 适量', '豆芽 适量', '韭菜 适量', '粉条 适量', '葱花 适量']","['生抽 两勺', '蚝油 一勺', '食盐 适量']","['高血压人群 控制少吃', '高血糖人群 尽量不吃', '减肥人群 控制少吃', '高血脂人群 建议多吃', '儿童 控制少吃']",13.02克,1.8克,102.8大卡
1045,蚵仔煎,4.5, 977 收藏 , 74802 浏览,煎,咸鲜味,60分钟,初级入门,"['葱花 5克', '卷心菜 50克', '海蛎子 70克', '鸡蛋 1个']","['淀粉 50克', '料酒 10克', '盐 2克', '白胡椒粉 1克', '水 20毫升']","['高血压人群 建议多吃', '高血糖人群 尽量不吃', '减肥人群 控制少吃', '高血脂人群 建议多吃', '儿童 建议多吃']",14.14克,2.2克,116.5大卡
1423,水煮锤肉片,3.972, 213 收藏 , 11488 浏览,煮,香辣味,30分钟,初级入门,['猪里脊 300克'],"['料酒 10克', '蚝油 15克', '生抽 20克', '葱姜蒜 适量', '郫县豆瓣 辣椒面', '辣椒圈 适量', '小葱花 适量', '玉米淀粉 适量', '黑胡椒粉 适量']","['高血压人群 建议多吃', '高血脂人群 建议多吃', '减肥人群 控制少吃', '高血糖人群 建议多吃', '儿童 控制少吃']",3.01克,6.3克,138.1大卡
1313,香烤猪蹄,4.849, 770 收藏 , 16287 浏览,烤,香辣味,30分钟,初级入门,['猪蹄 2个'],"['八角 2个', '香叶 2片', '香果 1颗', '桂皮 1块', '冰糖 3颗', '老抽 15克', '料酒 20克', '黄豆酱 15克', '生抽 25克', '干辣椒 2个', '大葱 适量', '辣椒粉 适量', '生姜 适量', '熟白芝麻 适量']","['高血压人群 控制少吃', '高血脂人群 控制少吃', '减肥人群 控制少吃', '高血糖人群 控制少吃', '儿童 控制少吃']",4.9克,15.2克,235.2大卡
8858,四季豆炒扇贝肉,3.337, 26 收藏 , 8120 浏览,炒,咸鲜味,10分钟,未知,"['四季豆 250克', '白糖 3克', '花椒 1克', '花生油 20克', '扇贝肉 200克', '大蒜 4瓣', '小米辣 2个', '小葱 半根', '蚝油 1勺', '生抽 1勺', '料酒 1勺', '淀粉 1勺']",['盐 适量'],"['高血压人群 建议多吃', '高血脂人群 建议多吃', '减肥人群 建议多吃', '高血糖人群 建议多吃', '儿童 控制少吃']",4.27克,4.3克,82.8大卡
13762,清炖全鸡,4.308, 24 收藏 , 17977 浏览,炖,咸鲜味,10分钟,新手尝试,['三黄鸡 1条'],"['黄芪 1克', '红枣 4克', '桂圆 4克', '香菇 60克', '姜片 10克', '黄酒 10克', '枸杞 1克']","['高血糖人群 建议多吃', '减肥人群 建议多吃', '高血脂人群 建议多吃', '高血压人群 建议多吃', '儿童 建议多吃']",1.05克,0.1克,9.1大卡
6691,黄桥烧饼,4.852, 18 收藏 , 8431 浏览,烤,咸鲜味,30分钟,中级掌勺,['面粉 200克'],"['葱 5克', '酵母粉 3克', '白砂糖 2克']","['高血糖人群 尽量不吃', '减肥人群 控制少吃', '高血脂人群 控制少吃', '高血压人群 控制少吃', '儿童 控制少吃']",35.42克,1.8克,252.9大卡
10306,自制凉皮【孔老师教做菜】,3.477, 344 收藏 , 3380 浏览,蒸,家常味,5分钟,新手尝试,['面粉 200克'],"['盐 3克', '酵母 2克']","['高血压人群 控制少吃', '高血糖人群 尽量不吃', '减肥人群 尽量不吃', '高血脂人群 控制少吃', '儿童 控制少吃']",48.72克,2.5克,349大卡
13025,糖醋牛肉丸子，好吃下饭又营养,4.153, 342 收藏 , 6518 浏览,炸,酸甜味,30分钟,初级入门,"['牛肉 500克', '红薯淀粉 120克', '鸡蛋 1个']","['花椒水 120克', '葱姜 适量', '盐 1勺', '料酒 1勺', '生抽 2勺', '蚝油 1勺', '胡椒粉 1小勺', '香油 适量', '白糖（糖醋汁） 3大勺', '番茄酱（糖醋汁） 2勺']","['高血压人群 控制少吃', '减肥人群 控制少吃', '高血糖人群 尽量不吃', '高血脂人群 控制少吃', '儿童 控制少吃']",14.7克,3.4克,161.4大卡
5979,扬州炒饭,4.306, 75 收藏 , 15712 浏览,炒,咸鲜味,15分钟,初级入门,"['白米饭 500克', '鸡蛋 1个', '腊肠 1根']","['青豆 100克', '胡萝卜粒 100克', '玉米粒 100克', '蒜末 5克', '盐 5克', '蚝油 5克', '生抽 10克', '纯净水 10克']","['高血脂人群 建议多吃', '高血压人群 建议多吃', '减肥人群 控制少吃', '高血糖人群 尽量不吃', '儿童 建议多吃']",15.75克,8.3克,188.8大卡
4590,杏鲍菇炒肉,3.744, 89 收藏 , 20158 浏览,炒,咸鲜味,15分钟,新手尝试,"['杏鲍菇 20克', '猪肉 200克']","['生抽 7克', '蚝油 5克', '料酒 1克', '油 102克', '盐 2克']","['高血脂人群 尽量不吃', '减肥人群 尽量不吃', '高血压人群 控制少吃', '高血糖人群 控制少吃', '儿童 控制少吃']",2.03克,33.6克,361.9大卡
5856,干锅牛蛙,4.313, 57 收藏 , 17612 浏览,煲,咸鲜味,30分钟,初中水平,"['牛蛙 200克', '姜片 5克', '蒜片 5克', '郫县豆瓣酱 25克']","['红椒 30克', '青椒 30克', '料酒 5克', '食用油 20毫升', '生抽 5克']","['高血压人群 建议多吃', '减肥人群 建议多吃', '高血脂人群 建议多吃', '高血糖人群 建议多吃', '儿童 控制少吃']",2.38克,0.9克,43.1大卡
7226,清蒸比目鱼,3.568, 16 收藏 , 4665 浏览,蒸,咸鲜味,5分钟,初级入门,['比目鱼 400克'],"['姜 1块', '小葱 2棵', '小米辣 1个', '植物油 20克', '蒸鱼豉油 适量', '料酒 10克']","['高血脂人群 建议多吃', '减肥人群 控制少吃', '高血压人群 建议多吃', '高血糖人群 建议多吃', '儿童 控制少吃']",0.35克,7.1克,137.8大卡
10470,西兰花虾仁炒饭,4.009, 15 收藏 , 7479 浏览,炒,咸鲜味,15分钟,未知,"['西兰花 适量', '鲜虾 适量', '鸡蛋 3个', '米饭 适量', '胡萝卜 适量']",['料酒、盐、鸡精 少许'],"['高血压人群 建议多吃', '高血脂人群 建议多吃', '减肥人群 控制少吃', '高血糖人群 控制少吃', '儿童 建议多吃']",6.44克,3.3克,102.8大卡
14058,洋葱炒鸡蛋,3.113, 20 收藏 , 7395 浏览,炒,家常味,10分钟,未知,"['洋葱 1个', '鸡蛋 3个']","['干辣椒 2个', '香葱 2根']","['减肥人群 建议多吃', '高血糖人群 建议多吃', '高血脂人群 建议多吃', '高血压人群 建议多吃', '儿童 控制少吃']",4.55克,3.7克,82.6大卡
1077,家常豆腐,4.219, 38 收藏 , 9447 浏览,炒,家常味,15分钟,新手尝试,"['豆腐 1块', '胡萝卜 半个', '小青菜 4颗']","['大蒜 4瓣', '生姜 10克']","['高血脂人群 建议多吃', '减肥人群 建议多吃', '高血压人群 建议多吃', '高血糖人群 建议多吃', '儿童 建议多吃']",2.87克,1.9克,49.4大卡
13369,蜜汁黑椒烤肋排,3.339, 11 收藏 , 3815 浏览,烤,果味,2小时,初级入门,"['肋排 三条', '苹果 1个']","['洋葱末 少许', '盐 少许', '蒜末 少许', '鸡精 少许', '蚝油 一勺', '五香粉 1/4勺', '白糖 1勺', '生抽 1勺', '黑胡椒 少许', '白酒 少许']","['高血压人群 控制少吃', '高血脂人群 控制少吃', '减肥人群 控制少吃', '高血糖人群 控制少吃', '儿童 控制少吃']",4.62克,15克,215.1大卡
2392,红焖鸡腿,4.462, 704 收藏 , 6591 浏览,烧,家常味,15分钟,新手尝试,"['鸡腿 2个', '葱姜 适量']","['生抽 2勺', '老抽 1勺料酒', '料酒 1勺', '白糖 半勺', '蚝油 1勺', '盐 适量']","['高血压人群 控制少吃', '高血脂人群 建议多吃', '减肥人群 控制少吃', '高血糖人群 建议多吃', '儿童 控制少吃']",2.8克,6.1克,140.5大卡
10853,干锅茶树菇,4.901, 32 收藏 , 7162 浏览,炒,香辣味,15分钟,初级入门,"['五花肉 50克', '干茶树菇 100克', '洋葱 150克', '青椒 3个', '红辣椒 5个']","['小葱 1根', '生姜 适量', '蒜瓣 6瓣', '料酒 1勺', '白糖 适量', '生抽 25毫升', '郫县豆瓣酱 25克', '豆豉酱 20克', '鸡精 适量']","['减肥人群 控制少吃', '高血糖人群 尽量不吃', '高血脂人群 建议多吃', '高血压人群 控制少吃', '儿童 控制少吃']",13.02克,3.8克,123.2大卡
6301,茄丁双椒炒肉丁,4.652, 36 收藏 , 9043 浏览,炒,香辣味,10分钟,未知,"['茄子 1根', '花椒 2克', '鸡精 1克', '青椒 1个', '红椒 半个', '猪肉 150克', '葱 少许', '姜 2片', '香菜 1颗', '花生油 40克', '生抽 10克']",['盐 适量'],"['高血脂人群 控制少吃', '高血压人群 控制少吃', '减肥人群 控制少吃', '高血糖人群 控制少吃', '儿童 控制少吃']",2.94克,18.8克,202大卡
4828,椒麻鸡,3.205, 30 收藏 , 13587 浏览,煮,家常味,30分钟,初级入门,['鸡腿 1根'],"['葱花 5克', '香菜 5克', '水 1升', '八角 1个', '姜片 1个', '料酒 5克', '盐 2克', '花椒粉 3克']","['高血压人群 建议多吃', '高血脂人群 建议多吃', '减肥人群 建议多吃', '高血糖人群 建议多吃', '儿童 建议多吃']",0.42克,0.5克,12大卡
5890,卤煮火烧,3.635, 8 收藏 , 8418 浏览,煮,香辣味,30分钟,初级入门,"['豆腐 100克', '火烧 1个', '猪肺 200克', '肥肠 200克', '酱汁 100克', '水 300毫升']","['香菜 10克', '葱段 10克', '蒜末 10克', '姜片 10克', '食用油 5毫升', '花椒 2克', '八角 1个', '辣椒 3克', '韭花酱 10克', '豆腐乳 10克']","['高血压人群 建议多吃', '高血脂人群 建议多吃', '减肥人群 控制少吃', '高血糖人群 建议多吃', '儿童 控制少吃']",4.76克,5.6克,101.4大卡
